,Imp_B365H,Imp_B365D,Imp_B365A,Imp_BbAvH,Imp_BbAvD,Imp_BbAvA,Imp_PSCH,Imp_PSCD,Imp_PSCA,BbOU,BbAHh,BbAv_gt_2_5,BbAv_lt_2_5,HomeTeam_enc,AwayTeam_enc,Div_enc,Home_Wins_Last5,Home_Draws_Last5,Home_Losses_Last5,Away_Wins_Last5,Away_Draws_Last5,Away_Losses_Last5,Draws_Diff_Last5,Wins_Diff_Last5,Losses_Diff_Last5,FTR,FTR_enc,HomeTeam,AwayTeam,Date
18270,0.7692307692307692,0.18181818181818182,0.1111111111111111,0.7692307692307692,0.18348623853211007,0.10298661174047373,0.7751937984496123,0.15698587127158556,0.08928571428571429,25.0,-1.5,1.52,2.45,66,232,0,5.0,0.0,0.0,0.0,1.0,4.0,-1.0,5.0,-4.0,H,2,Dortmund,Werder Bremen,2012-08-24
18272,0.35714285714285715,0.29411764705882354,0.4166666666666667,0.3484320557491289,0.29850746268656714,0.4166666666666667,0.33444816053511706,0.2824858757062147,0.40322580645161293,33.0,0.25,1.88,1.92,71,124,0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,-4.0,4.0,H,2,Ein Frankfurt,Leverkusen,2012-08-25
18273,0.4,0.30303030303030304,0.36363636363636365,0.3952569169960475,0.3067484662576687,0.36101083032490977,0.3597122302158274,0.2898550724637681,0.36900369003690037,31.0,0.0,2.04,1.76,82,134,0,2.0,2.0,1.0,1.0,3.0,1.0,-1.0,1.0,0.0,D,1,Freiburg,Mainz,2012-08-25
18275,0.48780487804878053,0.29411764705882354,0.2857142857142857,0.47619047619047616,0.3021148036253776,0.2849002849002849,0.4166666666666667,0.2949852507374631,0.3067484662576687,33.0,-0.5,1.93,1.86,94,162,0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,-2.0,1.0,A,0,Hamburg,Nurnberg,2012-08-25
18276,0.5235602094240838,0.29411764705882354,0.25,0.5102040816326531,0.2958579881656805,0.2570694087403599,0.5050505050505051,0.27932960893854747,0.23584905660377356,32.0,-0.5,1.97,1.83,133,100,0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,-2.0,H,2,M'gladbach,Hoffenheim,2012-08-25
18277,0.5,0.2857142857142857,0.2777777777777778,0.5050505050505051,0.29069767441860467,0.26881720430107525,0.5050505050505051,0.2638522427440633,0.25125628140703515,27.0,-0.5,1.65,2.21,206,237,0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,-2.0,A,0,Stuttgart,Wolfsburg,2012-08-25
18278,0.3472222222222222,0.29411764705882354,0.42016806722689076,0.35211267605633806,0.29850746268656714,0.4132231404958678,0.27027027027027023,0.27322404371584696,0.47846889952153115,30.0,0.0,1.84,1.95,95,190,0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,D,1,Hannover,Schalke 04,2012-08-26
18279,0.5555555555555556,0.2857142857142857,0.2222222222222222,0.5464480874316939,0.2857142857142857,0.22573363431151244,0.5405405405405405,0.2724795640326976,0.20833333333333334,34.0,-0.5,1.98,1.83,134,91,0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,A,0,Mainz,Greuther Furth,2012-08-31
18280,0.3448275862068966,0.30303030303030304,0.4166666666666667,0.33557046979865773,0.3021148036253776,0.425531914893617,0.2958579881656805,0.303951367781155,0.42016806722689076,30.0,0.25,2.0,1.8,81,133,0,1.0,0.0,0.0,3.0,1.0,1.0,-1.0,-2.0,-1.0,D,1,Fortuna Dusseldorf,M'gladbach,2012-09-01
18281,0.48780487804878053,0.29411764705882354,0.2857142857142857,0.49019607843137253,0.2949852507374631,0.2770083102493075,0.4132231404958678,0.29673590504451036,0.3105590062111801,34.0,-0.25,1.93,1.88,100,71,0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,-1.0,1.0,A,0,Hoffenheim,Ein Frankfurt,2012-09-01
18282,0.6369426751592356,0.25,0.18181818181818182,0.625,0.2570694087403599,0.17921146953405018,0.625,0.23255813953488372,0.16129032258064516,26.0,-1.0,1.62,2.25,124,82,0,3.0,1.0,1.0,1.0,3.0,1.0,-2.0,2.0,0.0,H,2,Leverkusen,Freiburg,2012-09-01
18283,0.16666666666666666,0.25,0.6451612903225806,0.1636661211129296,0.25510204081632654,0.6451612903225806,0.1941747572815534,0.25510204081632654,0.5714285714285714,34.0,1.0,1.76,2.07,162,66,0,3.0,1.0,1.0,5.0,0.0,0.0,1.0,-2.0,1.0,D,1,Nurnberg,Dortmund,2012-09-01
18284,0.7352941176470588,0.21052631578947367,0.11764705882352941,0.7299270072992701,0.21413276231263384,0.11737089201877934,0.7299270072992701,0.19267822736030826,0.1006036217303823,24.0,-1.25,1.58,2.3,190,15,0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,H,2,Schalke 04,Augsburg,2012-09-01
18285,0.5780346820809249,0.26666666666666666,0.2222222222222222,0.5714285714285714,0.2724795640326976,0.2183406113537118,0.5319148936170213,0.2610966057441253,0.22831050228310504,32.0,-0.75,1.7,2.13,232,94,0,0.0,0.0,5.0,1.0,2.0,2.0,-2.0,-1.0,3.0,H,2,Werder Bremen,Hamburg,2012-09-01
18286,0.8,0.16666666666666666,0.09090909090909091,0.7936507936507936,0.17889087656529518,0.09182736455463728,0.78125,0.15600624024961,0.08071025020177562,22.0,-1.75,1.42,2.73,21,206,0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,-2.0,H,2,Bayern Munich,Stuttgart,2012-09-02
18287,0.5128205128205129,0.2857142857142857,0.26666666666666666,0.5102040816326531,0.2849002849002849,0.2680965147453083,0.5154639175257733,0.26525198938992045,0.24038461538461536,31.0,-0.5,1.7,2.14,237,95,0,2.0,1.0,2.0,1.0,2.0,2.0,-1.0,1.0,0.0,A,0,Wolfsburg,Hannover,2012-09-02
18288,0.37037037037037035,0.29411764705882354,0.4,0.3831417624521073,0.29673590504451036,0.37453183520599254,0.4098360655737705,0.2680965147453083,0.3424657534246575,34.0,0.0,1.8,2.01,15,237,0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,-1.0,0.0,D,1,Augsburg,Wolfsburg,2012-09-14
18289,0.8547008547008548,0.14285714285714285,0.06666666666666667,0.8474576271186441,0.14513788098693758,0.06373486297004462,0.7874015748031495,0.16155088852988692,0.06877579092159561,23.0,-2.0,1.43,2.7,21,134,0,5.0,0.0,0.0,0.0,3.0,2.0,-3.0,5.0,-2.0,H,2,Bayern Munich,Mainz,2012-09-15
18290,0.6944444444444444,0.23094688221709006,0.14285714285714285,0.6802721088435374,0.23923444976076558,0.14084507042253522,0.6535947712418301,0.21978021978021978,0.14684287812041116,33.0,-1.0,1.71,2.13,66,124,0,4.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,-1.0,H,2,Dortmund,Leverkusen,2012-09-15
